[2025-10-29 15:43:40,152] INFO - 🚀 Starting preprocessing...
[2025-10-29 15:43:42,697] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-10-29 15:43:42,711] INFO - 🧹 Cleaning text...
[2025-10-29 15:43:43,575] INFO - ✅ Text cleaned.
[2025-10-29 15:43:43,575] INFO - 🔠 Vectorizing using TF-IDF...
[2025-10-29 15:43:43,717] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-10-29 15:43:43,717] INFO - 📐 Calculating cosine similarity...
[2025-10-29 15:43:44,023] INFO - 💾 Converting matrix to float32 to reduce size...
[2025-10-29 15:43:44,061] INFO - ✅ Cosine similarity matrix generated and converted.
[2025-10-29 15:43:44,113] INFO - 💾 Data saved to disk.
[2025-10-29 15:43:44,113] INFO - ✅ Preprocessing complete.
[2025-10-31 22:44:03,737] INFO - 🚀 Starting preprocessing...
[2025-10-31 22:44:04,816] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-10-31 22:44:04,831] INFO - 🧹 Cleaning text...
[2025-10-31 22:44:05,913] INFO - ✅ Text cleaned.
[2025-10-31 22:44:05,913] INFO - 🔠 Vectorizing using TF-IDF...
[2025-10-31 22:44:06,102] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-10-31 22:44:06,102] INFO - 📐 Calculating cosine similarity...
[2025-10-31 22:44:06,530] INFO - 💾 Converting matrix to float32 to reduce size...
[2025-10-31 22:44:06,585] INFO - ✅ Cosine similarity matrix generated and converted.
[2025-10-31 22:44:08,052] INFO - 💾 Data saved to disk.
[2025-10-31 22:44:08,054] INFO - ✅ Preprocessing complete.
[2025-10-31 22:54:57,335] INFO - 🚀 Starting preprocessing...
[2025-10-31 22:54:58,424] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-10-31 22:54:58,455] INFO - 🧹 Cleaning text...
[2025-10-31 22:54:59,691] INFO - ✅ Text cleaned.
[2025-10-31 22:54:59,691] INFO - 🔠 Vectorizing using TF-IDF...
[2025-10-31 22:54:59,926] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-10-31 22:54:59,926] INFO - 📐 Calculating cosine similarity...
[2025-10-31 22:55:00,547] INFO - 💾 Converting matrix to float32 to reduce size...
[2025-10-31 22:55:00,627] INFO - ✅ Cosine similarity matrix generated and converted.
[2025-10-31 22:55:00,731] INFO - 💾 Data saved to disk.
[2025-10-31 22:55:00,731] INFO - ✅ Preprocessing complete.
[2025-10-31 23:00:16,141] INFO - 🚀 Starting preprocessing...
[2025-10-31 23:00:17,220] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-10-31 23:00:17,248] INFO - 🧹 Cleaning text...
[2025-10-31 23:00:18,597] INFO - ✅ Text cleaned.
[2025-10-31 23:00:18,597] INFO - 🔠 Vectorizing using TF-IDF...
[2025-10-31 23:00:18,809] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-10-31 23:00:18,809] INFO - 📐 Calculating cosine similarity...
[2025-10-31 23:00:19,359] INFO - 💾 Converting matrix to float32 to reduce size...
[2025-10-31 23:00:19,422] INFO - ✅ Cosine similarity matrix generated and converted.
[2025-10-31 23:00:19,517] INFO - 💾 Data saved to disk.
[2025-10-31 23:00:19,523] INFO - ✅ Preprocessing complete.
