[2025-10-29 14:46:22,572] INFO - 🚀 Starting preprocessing...
[2025-10-29 14:46:23,396] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-10-29 14:46:23,396] INFO - 🧹 Cleaning text...
[2025-10-29 14:46:24,128] INFO - ✅ Text cleaned.
[2025-10-29 14:46:24,128] INFO - 🔠 Vectorizing using TF-IDF...
[2025-10-29 14:46:24,279] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-10-29 14:46:24,279] INFO - 📐 Calculating cosine similarity...
[2025-10-29 14:46:24,667] INFO - ✅ Cosine similarity matrix generated.
[2025-10-29 14:46:24,776] INFO - 💾 Data saved to disk.
[2025-10-29 14:46:24,776] INFO - ✅ Preprocessing complete.
[2025-10-29 14:57:06,609] INFO - 🚀 Starting preprocessing...
[2025-10-29 14:57:07,416] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-10-29 14:57:07,425] INFO - 🧹 Cleaning text...
[2025-10-29 14:57:08,142] INFO - ✅ Text cleaned.
[2025-10-29 14:57:08,142] INFO - 🔠 Vectorizing using TF-IDF...
[2025-10-29 14:57:08,285] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-10-29 14:57:08,285] INFO - 📐 Calculating cosine similarity...
[2025-10-29 14:57:08,622] INFO - 💾 Converting matrix to float32 to reduce size...
[2025-10-29 14:57:08,672] INFO - ✅ Cosine similarity matrix generated and converted.
[2025-10-29 14:57:08,751] INFO - 💾 Data saved to disk.
[2025-10-29 14:57:08,751] INFO - ✅ Preprocessing complete.
